LATITUDE MIN,LATITUDE MAX,LONGITUDE MIN,LONGITUDE MAX,AGE ESTIMATE (Ma),AGE ESTIMATE UNCERTAINTY (Ma),NUMERICAL (0) OR LABEL (1) FLAG
-76.6,-76.6,-117.75,-117.75,1.82,-0.0,0.0
-76.6,-76.6,-117.75,-117.75,0.03,-0.0,0.0
-76.7,-76.7,-117.8,-117.8,6.7,-0.0,0.0
-73.0,-75.0,165.0,170.0,33.0,33.0,1.0
-73.0,-75.0,165.0,170.0,33.0,33.0,1.0
-73.0,-75.0,165.0,170.0,33.0,33.0,1.0
-73.0,-75.0,165.0,170.0,33.0,33.0,1.0
-73.0,-75.0,165.0,170.0,33.0,33.0,1.0
-73.0,-75.0,165.0,170.0,33.0,33.0,1.0
-73.0,-75.0,165.0,170.0,33.0,33.0,1.0
-73.0,-75.0,165.0,170.0,33.0,33.0,1.0
-73.0,-75.0,165.0,170.0,33.0,33.0,1.0
-73.0,-75.0,165.0,170.0,33.0,33.0,1.0
-73.0,-75.0,165.0,170.0,33.0,33.0,1.0
-73.0,-75.0,165.0,170.0,33.0,33.0,1.0
-73.0,-75.0,165.0,170.0,33.0,33.0,1.0
-73.0,-75.0,165.0,170.0,33.0,33.0,1.0
-73.0,-75.0,165.0,170.0,33.0,33.0,1.0
-73.0,-75.0,165.0,170.0,33.0,33.0,1.0
-73.0,-75.0,165.0,170.0,33.0,33.0,1.0
-73.0,-75.0,165.0,170.0,33.0,33.0,1.0
-73.0,-75.0,165.0,170.0,33.0,33.0,1.0
-73.0,-75.0,165.0,170.0,33.0,33.0,1.0
-73.0,-75.0,165.0,170.0,33.0,33.0,1.0
-73.0,-75.0,165.0,170.0,33.0,33.0,1.0
-73.0,-75.0,165.0,170.0,33.0,33.0,1.0
-73.0,-75.0,165.0,170.0,33.0,33.0,1.0
-73.0,-75.0,165.0,170.0,33.0,33.0,1.0
-73.0,-75.0,165.0,170.0,33.0,33.0,1.0
-73.0,-75.0,165.0,170.0,33.0,33.0,1.0
-73.0,-75.0,165.0,170.0,33.0,33.0,1.0
-73.0,-75.0,165.0,170.0,33.0,33.0,1.0
-73.0,-75.0,165.0,170.0,33.0,33.0,1.0
-73.0,-75.0,165.0,170.0,33.0,33.0,1.0
-73.0,-75.0,165.0,170.0,33.0,33.0,1.0
-73.0,-75.0,165.0,170.0,33.0,33.0,1.0
-73.0,-75.0,165.0,170.0,33.0,33.0,1.0
