Data Number,Codes,Site Name,Latitude,Longitude,Elevation,minD,maxD,No. Temps,Gradient,No. Cond.,Conductivity,No.Heat Prod.,Heat Prod.,Heat Flow,No. sites,Year of Pub.,Reference,Comments,,
146,,A-282-12,20.3667,-67.3833,-5410,,,2,87,,0.84,,,74,1,1963,Reitzel1963,Reitzel1963,,Ewing probe
147,,A-282-13,21.9,-66.6167,-5640,,,2,61,,0.81,,,50,1,1963,Reitzel1963,Reitzel1963,,Ewing probe
148,,A-282-14,23.6667,-65.6167,-5800,,,2,59,,0.8,,,47,1,1963,Reitzel1963,Reitzel1963,,Ewing probe
149,,A-282-15,25.4833,-64.5667,-5680,,,2,57,,0.8,,,46,1,1963,Reitzel1963,Reitzel1963,,Ewing probe
150,,A-282-17,25.4417,-66.6667,-5580,,,2,64,,0.8,,,51,1,1963,Reitzel1963,Reitzel1963,,Ewing probe
151,,A-282-18,27.0833,-67.9333,-5200,,,2,57,,0.79,,,45,1,1963,Reitzel1963,Reitzel1963,,Ewing probe
152,,A-282-20,28.7333,-69.0833,-5330,,,2,58,,0.86,,,49,1,1963,Reitzel1963,Reitzel1963,,Ewing probe
153,,A-282-21,28.85,-66.8333,-5240,,,2,62,,0.81,,,50,1,1963,Reitzel1963,Reitzel1963,,Ewing probe
154,,A-282-22,28.9,-64.65,-4900,,,2,61,,0.75,,,47,1,1963,Reitzel1963,Reitzel1963,,Ewing probe
155,,A-282-23,30.45,-67.9667,-5230,,,2,55,,0.8,,,44,1,1963,Reitzel1963,Reitzel1963,,Ewing probe
156,,AII-1-1,32.0333,-74.15,-4870,,,2,40,,0.86,,,34,1,1963,Reitzel1963,Reitzel1963,,Ewing probe
157,,AII-1-3,30.9333,-74.6,-3430,,,2,47,,0.83,,,39,1,1963,Reitzel1963,Reitzel1963,,Ewing probe
158,,AII-1-5,29.1667,-76.3667,-4990,,,2,46,,1.05,,,49,1,1963,Reitzel1963,Reitzel1963,,Ewing probe
172,,EV 60,43.25,28.4,-55,,,2,,,,,,-19,,,25,25,,
180,,V-1,27.1333,-111.6333,-1840,,,,158,,0.74,,,117,1,1963,VonHerzen1963,Talwani1976,,
181,,V-2,27.2833,-111.3667,-1870,,,,178,,0.69,,,123,1,1963,VonHerzen1963,VonHerzen1963,*,Bullard probe
182,,V-3,27.6333,-111.7333,-1775,,,,255,,0.69,,,175,1,1963,VonHerzen1963,VonHerzen1963,*,Bullard probe
183,,V-4,26.7667,-111.0667,-1750,,,,169,,0.73,,,123,1,1963,VonHerzen1963,VonHerzen1963,*,Bullard probe
184,,V-5,24.15,-108.9167,-3020,,,,214,,0.83,,,177,1,1963,VonHerzen1963,VonHerzen1963,*,Bullard probe
184,,EV 2/81,43.2,28.6333,-85,,,2,,,,,,-73,,,25,6,,
185,,V-6,22.9667,-108.0667,-2900,,,,34,,0.76,,,26,1,1963,VonHerzen1963,VonHerzen1963,*,Bullard probe
186,,V-7,21.9833,-107.6833,-3055,,,,296,,0.78,,,231,1,1963,VonHerzen1963,VonHerzen1963,*,Bullard probe
